Wavelength (nm)	Intensity	Corrected
Unusable	47598
Dark	46983
Dark	47010
Dark	46998
Bevel	46823
Bevel	47244
Bevel	47247
Bevel	47415
Bevel	47476
Bevel	47537
509.50	44806	44793.6
509.99	44941	44927.9
510.47	44769	44756.7
510.96	44629	44617.5
511.44	44403	44392.8
511.93	44543	44532.0
512.41	44274	44264.7
512.90	44207	44198.2
513.38	44040	44032.5
513.86	44175	44166.4
514.35	43941	43934.3
514.83	44010	44002.7
515.32	43974	43967.0
515.80	44228	44219.0
516.29	44073	44065.2
516.77	44198	44189.3
517.25	44140	44131.7
517.74	44094	44086.0
518.22	44060	44052.3
518.70	43896	43889.7
519.19	43649	43645.0
519.67	43739	43734.1
520.15	43802	43796.5
520.64	43769	43763.8
521.12	43745	43740.0
521.60	43899	43892.7
522.08	43907	43900.6
522.57	43828	43822.3
523.05	43687	43682.6
523.53	43652	43647.9
524.01	43702	43697.4
524.50	43512	43509.3
524.98	43524	43521.2
525.46	43558	43554.9
525.94	43507	43504.4
526.42	43436	43434.1
526.90	43647	43643.0
527.39	43679	43674.7
527.87	43860	43854.0
528.35	43875	43868.9
528.83	43808	43802.5
529.31	43663	43658.8
529.79	43632	43628.1
530.27	43385	43383.7
530.75	43426	43424.2
531.23	43463	43460.9
531.71	43426	43424.2
532.19	43537	43534.1
532.67	43497	43494.5
533.15	43601	43597.4
533.63	43810	43804.4
534.11	43726	43721.2
534.59	43543	43540.0
535.07	43687	43682.6
535.55	43627	43623.2
536.03	43269	43269.0
536.51	43382	43380.7
536.99	43514	43511.3
537.47	43615	43611.3
537.95	43534	43531.1
538.43	43574	43570.7
538.91	43576	43572.7
539.39	43858	43852.0
539.87	43675	43670.7
540.34	43734	43729.1
540.82	43677	43672.7
541.30	43673	43668.7
541.78	43598	43594.5
542.26	43612	43608.3
542.73	43434	43432.2
543.21	43860	43854.0
543.69	43726	43721.2
544.17	43896	43889.7
544.65	43996	43988.8
545.12	43912	43905.5
545.60	43824	43818.3
546.08	44046	44038.4
546.55	43760	43754.9
547.03	43802	43796.5
547.51	43560	43556.8
547.98	43693	43688.5
548.46	43610	43606.3
548.94	43742	43737.1
549.41	43638	43634.1
549.89	43717	43712.3
550.37	44035	44027.5
550.84	43865	43858.9
551.32	43952	43945.2
551.79	43722	43717.3
552.27	43730	43725.2
552.75	43509	43506.4
553.22	43645	43641.0
553.70	43611	43607.3
554.17	43628	43624.2
554.65	43743	43738.1
555.12	43901	43894.6
555.60	44114	44105.9
556.07	43867	43860.9
556.55	44031	44023.5
557.02	43859	43853.0
557.50	43735	43730.1
557.97	43857	43851.0
558.45	43644	43640.0
558.92	43645	43641.0
559.39	43556	43552.9
559.87	43605	43601.4
560.34	43819	43813.4
560.82	43953	43946.2
561.29	43851	43845.1
561.76	43843	43837.1
562.24	43802	43796.5
562.71	43652	43647.9
563.18	43931	43924.4
563.66	43731	43726.2
564.13	43581	43577.6
564.60	43505	43502.4
565.08	43590	43586.5
565.55	43646	43642.0
566.02	43882	43875.8
566.49	43659	43654.9
566.97	43926	43919.4
567.44	43979	43972.0
567.91	43934	43927.4
568.38	43877	43870.8
568.85	43808	43802.5
569.33	43672	43667.7
569.80	43560	43556.8
570.27	43636	43632.1
570.74	43650	43645.9
571.21	43720	43715.3
571.68	43817	43811.4
572.16	43787	43781.6
572.63	43926	43919.4
573.10	44008	44000.7
573.57	43899	43892.7
574.04	43901	43894.6
574.51	43883	43876.8
574.98	43702	43697.4
575.45	43615	43611.3
575.92	43677	43672.7
576.39	43609	43605.3
576.86	43764	43758.9
577.33	43970	43963.0
577.80	43945	43938.3
578.27	43888	43881.7
578.74	43901	43894.6
579.21	43979	43972.0
579.68	43977	43970.0
580.15	43720	43715.3
580.62	43542	43539.0
581.09	43717	43712.3
581.56	43558	43554.9
582.03	43856	43850.0
582.50	43731	43726.2
582.97	43722	43717.3
583.43	43904	43897.6
583.90	43976	43969.0
584.37	43942	43935.3
584.84	44082	44074.1
585.31	43845	43839.1
585.78	43690	43685.6
586.24	43748	43743.0
586.71	43719	43714.3
587.18	43728	43723.2
587.65	43568	43564.8
588.11	43881	43874.8
588.58	43884	43877.8
589.05	44099	44091.0
589.52	44140	44131.7
589.98	44048	44040.4
590.45	43626	43622.2
590.92	43911	43904.5
591.39	43617	43613.3
591.85	43733	43728.1
592.32	43937	43930.3
592.79	43663	43658.8
593.25	43866	43859.9
593.72	43917	43910.5
594.18	44102	44094.0
594.65	43892	43885.7
595.12	44170	44161.5
595.58	43997	43989.8
596.05	44074	44066.2
596.51	43769	43763.8
596.98	43805	43799.5
597.45	43692	43687.5
597.91	43697	43692.5
598.38	43788	43782.6
598.84	43838	43832.2
599.31	44023	44015.6
599.77	44047	44039.4
600.24	44118	44109.9
600.70	44197	44188.3
601.17	44008	44000.7
601.63	44064	44056.3
602.09	43894	43887.7
602.56	43902	43895.6
603.02	43840	43834.2
603.49	43888	43881.7
603.95	43893	43886.7
604.41	43701	43696.5
604.88	43835	43829.2
605.34	44266	44256.8
605.81	44083	44075.1
606.27	44210	44201.2
606.73	43868	43861.9
607.20	43832	43826.2
607.66	43818	43812.4
608.12	43906	43899.6
608.59	43756	43750.9
609.05	43986	43978.9
609.51	43815	43809.4
609.97	44011	44003.7
610.44	43992	43984.9
610.90	44081	44073.1
611.36	44079	44071.2
611.82	44147	44138.6
612.29	44093	44085.1
612.75	43788	43782.6
613.21	43887	43880.8
613.67	43962	43955.1
614.13	43959	43952.1
614.59	43812	43806.4
615.06	43933	43926.4
615.52	43845	43839.1
615.98	44144	44135.7
616.44	44101	44093.0
616.90	44141	44132.7
617.36	43991	43983.9
617.82	43961	43954.1
618.28	43896	43889.7
618.74	43871	43864.9
619.20	43904	43897.6
619.66	43854	43848.0
620.13	44096	44088.0
620.59	43875	43868.9
621.05	43902	43895.6
621.51	44102	44094.0
621.97	44196	44187.3
622.43	44180	44171.4
622.88	44025	44017.6
623.34	44078	44070.2
623.80	44032	44024.5
624.26	43908	43901.6
624.72	43892	43885.7
625.18	43953	43946.2
625.64	43904	43897.6
626.10	44051	44043.4
626.56	44148	44139.6
627.02	44204	44195.2
627.48	44152	44143.6
627.93	44036	44028.5
628.39	44252	44242.9
628.85	44134	44125.7
629.31	43977	43970.0
629.77	43984	43976.9
630.23	43953	43946.2
630.68	44020	44012.6
631.14	44212	44203.2
631.60	43884	43877.8
632.06	44229	44220.0
632.51	44217	44208.1
632.97	44104	44096.0
633.43	44205	44196.2
633.89	44207	44198.2
634.34	44082	44074.1
634.80	44059	44051.3
635.26	43962	43955.1
635.71	43850	43844.1
636.17	43988	43980.9
636.63	44015	44007.7
637.08	44116	44107.9
637.54	44228	44219.0
638.00	44126	44117.8
638.45	44107	44098.9
638.91	44122	44113.8
639.36	44016	44008.7
639.82	43899	43892.7
640.28	43946	43939.2
640.73	43991	43983.9
641.19	43933	43926.4
641.64	43813	43807.4
642.10	44163	44154.5
642.55	43978	43971.0
643.01	44317	44307.4
643.46	44044	44036.4
643.92	44389	44378.9
644.37	44121	44112.8
644.83	44078	44070.2
645.28	43641	43637.0
645.74	43820	43814.3
646.19	43887	43880.8
646.65	43996	43988.8
647.10	44140	44131.7
647.55	44092	44084.1
648.01	44030	44022.6
648.46	44294	44284.6
648.92	44148	44139.6
649.37	44359	44349.1
649.82	44138	44129.7
650.28	44001	43993.8
650.73	43912	43905.5
651.18	43909	43902.6
651.64	43877	43870.8
652.09	43995	43987.8
652.54	44220	44211.1
652.99	44116	44107.9
653.45	44172	44163.5
653.90	44256	44246.8
654.35	44166	44157.5
654.81	44405	44394.8
655.26	44120	44111.8
655.71	44101	44093.0
656.16	43997	43989.8
656.61	44007	43999.7
657.07	44015	44007.7
657.52	44015	44007.7
657.97	44134	44125.7
658.42	44138	44129.7
658.87	44159	44150.5
659.32	44228	44219.0
659.77	44214	44205.1
660.23	44255	44245.8
660.68	43867	43860.9
661.13	44002	43994.8
661.58	44166	44157.5
662.03	43972	43965.0
662.48	44133	44124.7
662.93	43987	43979.9
663.38	43893	43886.7
663.83	44178	44169.4
664.28	44310	44300.5
664.73	44412	44401.8
665.18	44240	44231.0
665.63	44226	44217.1
666.08	44217	44208.1
666.53	44030	44022.6
666.98	43901	43894.6
667.43	44156	44147.6
667.88	44088	44080.1
668.33	44068	44060.3
668.78	44149	44140.6
669.23	44212	44203.2
669.68	44206	44197.2
670.13	44201	44192.2
670.57	44484	44473.3
671.02	44223	44214.1
671.47	44133	44124.7
671.92	44125	44116.8
672.37	43932	43925.4
672.82	44081	44073.1
673.27	43869	43862.9
673.71	44056	44048.3
674.16	44247	44237.9
674.61	44246	44236.9
675.06	44247	44237.9
675.51	44160	44151.5
675.95	44205	44196.2
676.40	44204	44195.2
676.85	44241	44231.9
677.30	44129	44120.8
677.74	43995	43987.8
678.19	44119	44110.9
678.64	44045	44037.4
679.08	44135	44126.7
679.53	44422	44411.7
679.98	44385	44375.0
680.42	44253	44243.9
680.87	44421	44410.7
681.32	44334	44324.3
681.76	44217	44208.1
682.21	44108	44099.9
682.65	44121	44112.8
683.10	44130	44121.8
683.55	44156	44147.6
683.99	44237	44228.0
684.44	44191	44182.3
684.88	44360	44350.1
685.33	44303	44293.5
685.77	44168	44159.5
686.22	44463	44452.5
686.66	44337	44327.3
687.11	44216	44207.1
687.55	44252	44242.9
688.00	44215	44206.1
688.44	44222	44213.1
688.89	44076	44068.2
689.33	44187	44178.3
689.78	44296	44286.6
690.22	44457	44446.5
690.67	44378	44368.0
691.11	44633	44621.5
691.55	44290	44280.6
692.00	44167	44158.5
692.44	44126	44117.8
692.89	44148	44139.6
693.33	43946	43939.2
693.77	43955	43948.2
694.22	44075	44067.2
694.66	44269	44259.7
695.10	44319	44309.4
695.55	44372	44362.0
695.99	44592	44580.7
696.43	44354	44344.2
696.88	44361	44351.1
697.32	44465	44454.4
697.76	44209	44200.2
698.20	44161	44152.5
698.65	44135	44126.7
699.09	44125	44116.8
699.53	44074	44066.2
699.97	44419	44408.7
700.41	44337	44327.3
700.86	44397	44386.9
701.30	44538	44527.0
701.74	44457	44446.5
702.18	44423	44412.7
702.62	44292	44282.6
703.06	44341	44331.2
703.51	44225	44216.1
703.95	44169	44160.5
704.39	44150	44141.6
704.83	44261	44251.8
705.27	44228	44219.0
705.71	44433	44422.6
706.15	44380	44370.0
706.59	44741	44728.9
707.03	44507	44496.2
707.47	44362	44352.1
707.91	44317	44307.4
708.35	44121	44112.8
708.79	44095	44087.0
709.23	44189	44180.3
709.67	44137	44128.7
710.11	44450	44439.5
710.55	44183	44174.4
710.99	44596	44584.7
711.43	44350	44340.2
711.87	44413	44402.8
712.31	44573	44561.8
712.75	44226	44217.1
713.19	44407	44396.8
713.63	44452	44441.5
714.07	44100	44092.0
714.51	44116	44107.9
714.94	44175	44166.4
715.38	44339	44329.3
715.82	44266	44256.8
716.26	44484	44473.3
716.70	44366	44356.1
717.14	44348	44338.2
717.57	44544	44533.0
718.01	44440	44429.6
718.45	44327	44317.3
718.89	44178	44169.4
719.33	44181	44172.4
719.76	44244	44234.9
720.20	44214	44205.1
720.64	44361	44351.1
721.07	44462	44451.5
721.51	44284	44274.6
721.95	44489	44478.3
722.39	44527	44516.1
722.82	44382	44372.0
723.26	44333	44323.3
723.70	44203	44194.2
724.13	44219	44210.1
724.57	44148	44139.6
725.01	44191	44182.3
725.44	44317	44307.4
725.88	44357	44347.1
726.31	44567	44555.8
726.75	44467	44456.4
727.19	44464	44453.5
727.62	44539	44528.0
728.06	44320	44310.4
728.49	44433	44422.6
728.93	44127	44118.8
729.36	44166	44157.5
729.80	44257	44247.8
730.23	44420	44409.7
730.67	44348	44338.2
731.11	44438	44427.6
731.54	44601	44589.6
731.97	44491	44480.3
732.41	44535	44524.0
732.84	44493	44482.3
733.28	44462	44451.5
733.71	44308	44298.5
734.15	44464	44453.5
734.58	44190	44181.3
735.02	44125	44116.8
735.45	44272	44262.7
735.88	44446	44435.6
736.32	44392	44381.9
736.75	44482	44471.3
737.18	44577	44565.8
737.62	44595	44583.7
738.05	44375	44365.0
738.48	44456	44445.5
738.92	44318	44308.4
739.35	44059	44051.3
739.78	44205	44196.2
740.22	44104	44096.0
740.65	44182	44173.4
741.08	44274	44264.7
741.52	44531	44520.0
741.95	44548	44536.9
742.38	44479	44468.4
742.81	44619	44607.5
743.24	44400	44389.9
743.68	44600	44588.6
744.11	44163	44154.5
744.54	44361	44351.1
744.97	44100	44092.0
745.40	44304	44294.5
745.84	44246	44236.9
746.27	44488	44477.3
746.70	44481	44470.3
747.13	44471	44460.4
747.56	44447	44436.6
747.99	44579	44567.8
748.42	44629	44617.5
748.85	44402	44391.8
749.29	44339	44329.3
749.72	44101	44093.0
750.15	44291	44281.6
750.58	44518	44507.1
751.01	44381	44371.0
751.44	44507	44496.2
751.87	44654	44642.3
752.30	44411	44400.8
752.73	44673	44661.2
753.16	44554	44542.9
753.59	44483	44472.3
754.02	44488	44477.3
754.45	44251	44241.9
754.88	44508	44497.2
755.31	44477	44466.4
755.74	44327	44317.3
756.17	44492	44481.3
756.59	44528	44517.1
757.02	44561	44549.9
757.45	44589	44577.7
757.88	44639	44627.4
