# 20200701_095915_Spectrum_A100-I6.csv
Wavelength (nm)	Intensity	Corrected
Unusable	2244
Dark	1942
Dark	1970
Dark	1966
Bevel	2000
Bevel	1995
Bevel	1996
Bevel	2000
Bevel	1997
Bevel	2003
591.78	2029	2028.9
592.08	2022	2021.9
592.38	2028	2027.9
592.68	2024	2023.9
592.98	2026	2025.9
593.28	2025	2024.9
593.58	2024	2023.9
593.87	2022	2021.9
594.17	2023	2022.9
594.47	2024	2023.9
594.77	2022	2021.9
595.07	2016	2015.9
595.37	2015	2014.9
595.67	2012	2012.0
595.97	2015	2014.9
596.26	2023	2022.9
596.56	2011	2011.0
596.86	2012	2012.0
597.16	2010	2010.0
597.46	2009	2009.0
597.76	2010	2010.0
598.05	2012	2012.0
598.35	2012	2012.0
598.65	2009	2009.0
598.95	2013	2013.0
599.24	2010	2010.0
599.54	2005	2005.0
599.84	2008	2008.0
600.14	2010	2010.0
600.43	2006	2006.0
600.73	2008	2008.0
601.03	2007	2007.0
601.33	2006	2006.0
601.62	2005	2005.0
601.92	2006	2006.0
602.22	2009	2009.0
602.51	2010	2010.0
602.81	2016	2015.9
603.11	2019	2018.9
603.40	2024	2023.9
603.70	2011	2011.0
604.00	2010	2010.0
604.29	2014	2013.9
604.59	2022	2021.9
604.89	2009	2009.0
605.18	2008	2008.0
605.48	2012	2012.0
605.78	2009	2009.0
606.07	2012	2012.0
606.37	2008	2008.0
606.66	2010	2010.0
606.96	2009	2009.0
607.25	2006	2006.0
607.55	2011	2011.0
607.85	2010	2010.0
608.14	2006	2006.0
608.44	2008	2008.0
608.73	2009	2009.0
609.03	2010	2010.0
609.32	2008	2008.0
609.62	2010	2010.0
609.91	2008	2008.0
610.21	2007	2007.0
610.50	2005	2005.0
610.80	2009	2009.0
611.09	2007	2007.0
611.39	2008	2008.0
611.68	2007	2007.0
611.97	2008	2008.0
612.27	2009	2009.0
612.56	2011	2011.0
612.86	2005	2005.0
613.15	2007	2007.0
613.45	2009	2009.0
613.74	2004	2004.0
614.03	2005	2005.0
614.33	2007	2007.0
614.62	2007	2007.0
614.92	2007	2007.0
615.21	2007	2007.0
615.50	2008	2008.0
615.80	2008	2008.0
616.09	2004	2004.0
616.38	2009	2009.0
616.68	2003	2003.0
616.97	2008	2008.0
617.26	2011	2011.0
617.56	2008	2008.0
617.85	2009	2009.0
618.14	2006	2006.0
618.43	2010	2010.0
618.73	2007	2007.0
619.02	2006	2006.0
619.31	2005	2005.0
619.60	2003	2003.0
619.90	2015	2014.9
620.19	2009	2009.0
620.48	2002	2002.0
620.77	2006	2006.0
621.07	2004	2004.0
621.36	2006	2006.0
621.65	2004	2004.0
621.94	2002	2002.0
622.23	2007	2007.0
622.53	2005	2005.0
622.82	2006	2006.0
623.11	2007	2007.0
623.40	2006	2006.0
623.69	2008	2008.0
623.98	2008	2008.0
624.28	2002	2002.0
624.57	2005	2005.0
624.86	2004	2004.0
625.15	2004	2004.0
625.44	2002	2002.0
625.73	2010	2010.0
626.02	2009	2009.0
626.31	2006	2006.0
626.60	2005	2005.0
626.89	2003	2003.0
627.18	2006	2006.0
627.47	2002	2002.0
627.77	2005	2005.0
628.06	2004	2004.0
