# 20200701_101259_Spectrum_A100-I6.csv example_data/hyperchromator_600nm.dat
Wavelength (nm)	Intensity	Corrected
Unusable	2251
Dark	1949
Dark	1978
Dark	1973
Bevel	2007
Bevel	2002
Bevel	1998
Bevel	2000
Bevel	1997
Bevel	2002
472.29	2016	2015.9
472.62	2018	2017.9
472.95	2022	2021.9
473.28	2015	2014.9
473.61	2017	2016.9
473.94	2019	2018.9
474.27	2018	2017.9
474.60	2014	2013.9
474.93	2017	2016.9
475.26	2014	2013.9
475.59	2014	2013.9
475.92	2017	2016.9
476.25	2018	2017.9
476.57	2017	2016.9
476.90	2017	2016.9
477.23	2015	2014.9
477.56	2016	2015.9
477.89	2014	2013.9
478.22	2011	2011.0
478.54	2015	2014.9
478.87	2016	2015.9
479.20	2018	2017.9
479.53	2016	2015.9
479.86	2013	2012.9
480.18	2015	2014.9
480.51	2018	2017.9
480.84	2012	2012.0
481.17	2013	2012.9
481.49	2012	2012.0
481.82	2015	2014.9
482.15	2014	2013.9
482.48	2014	2013.9
482.80	2012	2012.0
483.13	2015	2014.9
483.46	2018	2017.9
483.78	2015	2014.9
484.11	2011	2011.0
484.44	2016	2015.9
484.76	2015	2014.9
485.09	2016	2015.9
485.42	2014	2013.9
485.74	2014	2013.9
486.07	2021	2020.9
486.40	2015	2014.9
486.72	2013	2012.9
487.05	2011	2011.0
487.37	2016	2015.9
487.70	2011	2011.0
488.03	2011	2011.0
488.35	2012	2012.0
488.68	2008	2008.0
489.00	2010	2010.0
489.33	2009	2009.0
489.65	2019	2018.9
489.98	2011	2011.0
490.30	2014	2013.9
490.63	2010	2010.0
490.95	2011	2011.0
491.28	2013	2012.9
491.60	2007	2007.0
491.93	2010	2010.0
492.25	2011	2011.0
492.58	2011	2011.0
492.90	2015	2014.9
493.23	2018	2017.9
493.55	2011	2011.0
493.88	2006	2006.0
494.20	2011	2011.0
494.53	2005	2005.0
494.85	2009	2009.0
495.17	2012	2012.0
495.50	2010	2010.0
495.82	2010	2010.0
496.14	2013	2012.9
496.47	2014	2013.9
496.79	2012	2012.0
497.12	2009	2009.0
497.44	2011	2011.0
497.76	2008	2008.0
498.09	2014	2013.9
498.41	2010	2010.0
498.73	2007	2007.0
499.05	2011	2011.0
499.38	2005	2005.0
499.70	2007	2007.0
500.02	2013	2012.9
500.35	2013	2012.9
500.67	2011	2011.0
500.99	2012	2012.0
501.31	2015	2014.9
501.64	2011	2011.0
501.96	2012	2012.0
502.28	2016	2015.9
502.60	2013	2012.9
502.93	2010	2010.0
503.25	2009	2009.0
503.57	2008	2008.0
503.89	2015	2014.9
504.21	2008	2008.0
504.53	2007	2007.0
504.86	2010	2010.0
505.18	2008	2008.0
505.50	2008	2008.0
505.82	2013	2012.9
506.14	2008	2008.0
506.46	2010	2010.0
506.78	2009	2009.0
507.10	2010	2010.0
507.43	2006	2006.0
507.75	2006	2006.0
508.07	2012	2012.0
508.39	2011	2011.0
508.71	2008	2008.0
509.03	2010	2010.0
509.35	2006	2006.0
509.67	2007	2007.0
509.99	2012	2012.0
510.31	2009	2009.0
510.63	2006	2006.0
510.95	2011	2011.0
511.27	2010	2010.0
511.59	2011	2011.0
511.91	2010	2010.0
512.23	2002	2002.0
512.55	2014	2013.9
512.87	2007	2007.0
513.19	2011	2011.0
513.51	2013	2012.9
513.83	2010	2010.0
514.15	2010	2010.0
514.47	2009	2009.0
514.78	2007	2007.0
515.10	2010	2010.0
515.42	2010	2010.0
515.74	2007	2007.0
516.06	2010	2010.0
516.38	2009	2009.0
516.70	2010	2010.0
517.02	2011	2011.0
517.33	2009	2009.0
517.65	2005	2005.0
517.97	2010	2010.0
518.29	2009	2009.0
518.61	2007	2007.0
518.93	2008	2008.0
519.24	2006	2006.0
519.56	2004	2004.0
519.88	2009	2009.0
520.20	2008	2008.0
520.51	2007	2007.0
520.83	2009	2009.0
521.15	2012	2012.0
521.47	2011	2011.0
521.78	2009	2009.0
522.10	2010	2010.0
522.42	2012	2012.0
522.74	2010	2010.0
523.05	2008	2008.0
523.37	2014	2013.9
523.69	2012	2012.0
524.00	2008	2008.0
524.32	2007	2007.0
524.64	2009	2009.0
524.95	2011	2011.0
525.27	2008	2008.0
525.59	2007	2007.0
525.90	2010	2010.0
526.22	2010	2010.0
526.53	2007	2007.0
526.85	2011	2011.0
527.17	2010	2010.0
527.48	2014	2013.9
527.80	2012	2012.0
528.11	2013	2012.9
528.43	2014	2013.9
528.74	2007	2007.0
529.06	2010	2010.0
529.38	2012	2012.0
529.69	2012	2012.0
530.01	2010	2010.0
530.32	2011	2011.0
530.64	2009	2009.0
530.95	2011	2011.0
531.27	2011	2011.0
531.58	2012	2012.0
531.90	2013	2012.9
532.21	2009	2009.0
532.53	2007	2007.0
532.84	2011	2011.0
533.15	2014	2013.9
533.47	2010	2010.0
533.78	2010	2010.0
534.10	2009	2009.0
534.41	2014	2013.9
534.73	2010	2010.0
535.04	2011	2011.0
535.35	2011	2011.0
535.67	2010	2010.0
535.98	2015	2014.9
536.29	2008	2008.0
536.61	2014	2013.9
536.92	2013	2012.9
537.23	2012	2012.0
537.55	2012	2012.0
537.86	2012	2012.0
538.17	2013	2012.9
538.49	2007	2007.0
538.80	2008	2008.0
539.11	2013	2012.9
539.43	2017	2016.9
539.74	2007	2007.0
540.05	2014	2013.9
540.36	2011	2011.0
540.68	2009	2009.0
540.99	2010	2010.0
541.30	2012	2012.0
541.61	2012	2012.0
541.93	2010	2010.0
542.24	2014	2013.9
542.55	2011	2011.0
542.86	2010	2010.0
543.17	2009	2009.0
543.49	2010	2010.0
543.80	2008	2008.0
544.11	2013	2012.9
544.42	2007	2007.0
544.73	2012	2012.0
545.04	2012	2012.0
545.36	2010	2010.0
545.67	2011	2011.0
545.98	2009	2009.0
546.29	2008	2008.0
546.60	2008	2008.0
546.91	2012	2012.0
547.22	2011	2011.0
547.53	2010	2010.0
547.84	2013	2012.9
548.15	2010	2010.0
548.47	2009	2009.0
548.78	2012	2012.0
549.09	2011	2011.0
549.40	2009	2009.0
549.71	2009	2009.0
550.02	2013	2012.9
550.33	2009	2009.0
550.64	2013	2012.9
550.95	2010	2010.0
551.26	2007	2007.0
551.57	2009	2009.0
551.88	2011	2011.0
552.19	2009	2009.0
552.50	2009	2009.0
552.81	2009	2009.0
553.11	2010	2010.0
553.42	2010	2010.0
553.73	2012	2012.0
554.04	2014	2013.9
554.35	2011	2011.0
554.66	2009	2009.0
554.97	2007	2007.0
555.28	2015	2014.9
555.59	2010	2010.0
555.90	2013	2012.9
556.20	2007	2007.0
556.51	2012	2012.0
556.82	2012	2012.0
557.13	2010	2010.0
557.44	2014	2013.9
557.75	2014	2013.9
558.05	2013	2012.9
558.36	2011	2011.0
558.67	2012	2012.0
558.98	2010	2010.0
559.29	2012	2012.0
559.59	2014	2013.9
559.90	2012	2012.0
560.21	2012	2012.0
560.52	2012	2012.0
560.82	2014	2013.9
561.13	2012	2012.0
561.44	2014	2013.9
561.75	2014	2013.9
562.05	2018	2017.9
562.36	2010	2010.0
562.67	2014	2013.9
562.97	2015	2014.9
563.28	2016	2015.9
563.59	2014	2013.9
563.89	2011	2011.0
564.20	2014	2013.9
564.51	2014	2013.9
564.81	2010	2010.0
565.12	2013	2012.9
565.43	2014	2013.9
565.73	2012	2012.0
566.04	2010	2010.0
566.35	2014	2013.9
566.65	2009	2009.0
566.96	2017	2016.9
567.26	2011	2011.0
567.57	2011	2011.0
567.87	2013	2012.9
568.18	2013	2012.9
568.49	2017	2016.9
568.79	2012	2012.0
569.10	2010	2010.0
569.40	2010	2010.0
569.71	2013	2012.9
570.01	2011	2011.0
570.32	2011	2011.0
570.62	2014	2013.9
570.93	2012	2012.0
571.23	2014	2013.9
571.54	2009	2009.0
571.84	2010	2010.0
572.15	2009	2009.0
572.45	2007	2007.0
572.75	2015	2014.9
573.06	2014	2013.9
573.36	2015	2014.9
573.67	2007	2007.0
573.97	2010	2010.0
574.28	2012	2012.0
574.58	2010	2010.0
574.88	2013	2012.9
575.19	2012	2012.0
575.49	2014	2013.9
575.79	2012	2012.0
576.10	2012	2012.0
576.40	2011	2011.0
576.71	2016	2015.9
577.01	2008	2008.0
577.31	2009	2009.0
577.62	2011	2011.0
577.92	2010	2010.0
578.22	2010	2010.0
578.52	2009	2009.0
578.83	2011	2011.0
579.13	2013	2012.9
579.43	2015	2014.9
579.74	2009	2009.0
580.04	2010	2010.0
580.34	2010	2010.0
580.64	2012	2012.0
580.95	2016	2015.9
581.25	2012	2012.0
581.55	2013	2012.9
581.85	2012	2012.0
582.15	2013	2012.9
582.46	2013	2012.9
582.76	2012	2012.0
583.06	2011	2011.0
583.36	2012	2012.0
583.66	2007	2007.0
583.96	2016	2015.9
584.27	2010	2010.0
584.57	2012	2012.0
584.87	2009	2009.0
585.17	2011	2011.0
585.47	2012	2012.0
585.77	2012	2012.0
586.07	2013	2012.9
586.37	2019	2018.9
586.68	2014	2013.9
586.98	2011	2011.0
587.28	2010	2010.0
587.58	2010	2010.0
587.88	2010	2010.0
588.18	2006	2006.0
588.48	2015	2014.9
588.78	2012	2012.0
589.08	2012	2012.0
589.38	2013	2012.9
589.68	2007	2007.0
589.98	2016	2015.9
590.28	2009	2009.0
590.58	2014	2013.9
590.88	2013	2012.9
591.18	2012	2012.0
591.48	2016	2015.9
591.78	2017	2016.9
592.08	2011	2011.0
592.38	2016	2015.9
592.68	2012	2012.0
592.98	2012	2012.0
593.28	2012	2012.0
593.58	2014	2013.9
593.87	2012	2012.0
594.17	2015	2014.9
594.47	2017	2016.9
594.77	2016	2015.9
595.07	2015	2014.9
595.37	2016	2015.9
595.67	2016	2015.9
595.97	2020	2019.9
596.26	2029	2028.9
596.56	2019	2018.9
596.86	2025	2024.9
597.16	2024	2023.9
597.46	2026	2025.9
597.76	2029	2028.9
598.05	2034	2033.9
598.35	2039	2038.9
598.65	2049	2048.8
598.95	2087	2086.7
599.24	2182	2181.4
599.54	2396	2394.7
599.84	2763	2760.7
600.14	3114	3110.9
600.43	3132	3128.9
600.73	2778	2775.7
601.03	2375	2373.8
601.33	2163	2162.5
601.62	2097	2096.7
601.92	2073	2072.7
602.22	2065	2064.8
602.51	2054	2053.8
602.81	2051	2050.8
603.11	2043	2042.8
603.40	2039	2038.9
603.70	2030	2029.9
604.00	2032	2031.9
604.29	2033	2032.9
604.59	2039	2038.9
604.89	2028	2027.9
605.18	2023	2022.9
605.48	2025	2024.9
605.78	2022	2021.9
606.07	2021	2020.9
606.37	2016	2015.9
606.66	2019	2018.9
606.96	2019	2018.9
607.25	2015	2014.9
607.55	2018	2017.9
607.85	2019	2018.9
608.14	2016	2015.9
608.44	2017	2016.9
608.73	2018	2017.9
609.03	2020	2019.9
609.32	2018	2017.9
609.62	2017	2016.9
609.91	2015	2014.9
610.21	2013	2012.9
610.50	2010	2010.0
610.80	2012	2012.0
611.09	2012	2012.0
611.39	2012	2012.0
611.68	2010	2010.0
611.97	2013	2012.9
612.27	2015	2014.9
612.56	2017	2016.9
612.86	2014	2013.9
613.15	2016	2015.9
613.45	2021	2020.9
613.74	2016	2015.9
614.03	2015	2014.9
614.33	2016	2015.9
614.62	2015	2014.9
614.92	2016	2015.9
615.21	2014	2013.9
615.50	2014	2013.9
615.80	2012	2012.0
616.09	2008	2008.0
616.38	2015	2014.9
616.68	2006	2006.0
616.97	2010	2010.0
617.26	2012	2012.0
617.56	2009	2009.0
617.85	2013	2012.9
618.14	2011	2011.0
618.43	2014	2013.9
618.73	2012	2012.0
619.02	2009	2009.0
619.31	2010	2010.0
619.60	2005	2005.0
619.90	2020	2019.9
620.19	2012	2012.0
620.48	2005	2005.0
620.77	2009	2009.0
621.07	2008	2008.0
621.36	2008	2008.0
621.65	2007	2007.0
621.94	2004	2004.0
622.23	2013	2012.9
622.53	2008	2008.0
622.82	2010	2010.0
623.11	2009	2009.0
623.40	2009	2009.0
623.69	2009	2009.0
623.98	2012	2012.0
624.28	2004	2004.0
624.57	2010	2010.0
624.86	2007	2007.0
625.15	2007	2007.0
625.44	2006	2006.0
625.73	2014	2013.9
626.02	2013	2012.9
626.31	2010	2010.0
626.60	2009	2009.0
626.89	2007	2007.0
627.18	2011	2011.0
627.47	2007	2007.0
627.77	2011	2011.0
628.06	2010	2010.0
628.35	2010	2010.0
628.64	2007	2007.0
628.93	2009	2009.0
629.22	2015	2014.9
629.51	2008	2008.0
629.80	2005	2005.0
630.09	2006	2006.0
630.38	2009	2009.0
630.67	2008	2008.0
630.96	2010	2010.0
631.25	2003	2003.0
631.53	2009	2009.0
631.82	2014	2013.9
632.11	2006	2006.0
632.40	2010	2010.0
632.69	2007	2007.0
632.98	2009	2009.0
633.27	2004	2004.0
633.56	2006	2006.0
633.85	2007	2007.0
634.14	2009	2009.0
634.43	2007	2007.0
634.71	2006	2006.0
635.00	2009	2009.0
635.29	2011	2011.0
635.58	2008	2008.0
635.87	2012	2012.0
636.16	2009	2009.0
636.44	2012	2012.0
636.73	2005	2005.0
637.02	2007	2007.0
637.31	2011	2011.0
637.60	2006	2006.0
637.88	2007	2007.0
638.17	2008	2008.0
638.46	2012	2012.0
638.75	2004	2004.0
639.04	2007	2007.0
639.32	2008	2008.0
639.61	2007	2007.0
639.90	2010	2010.0
640.18	2009	2009.0
640.47	2013	2012.9
640.76	2009	2009.0
641.05	2008	2008.0
641.33	2007	2007.0
641.62	2006	2006.0
641.91	2007	2007.0
642.19	2009	2009.0
642.48	2012	2012.0
642.77	2009	2009.0
643.05	2009	2009.0
643.34	2005	2005.0
643.63	2006	2006.0
643.91	2005	2005.0
644.20	2005	2005.0
644.49	2010	2010.0
644.77	2005	2005.0
645.06	2011	2011.0
645.34	2012	2012.0
645.63	2004	2004.0
645.92	2006	2006.0
646.20	2013	2012.9
646.49	2009	2009.0
646.77	2007	2007.0
647.06	2007	2007.0
647.34	2007	2007.0
647.63	2013	2012.9
647.91	2006	2006.0
648.20	2008	2008.0
648.48	2008	2008.0
648.77	2009	2009.0
649.05	2011	2011.0
649.34	2008	2008.0
649.62	2007	2007.0
649.91	2004	2004.0
650.19	2005	2005.0
650.48	2010	2010.0
650.76	2014	2013.9
651.05	2006	2006.0
651.33	2008	2008.0
651.62	2007	2007.0
651.90	2012	2012.0
652.18	2010	2010.0
652.47	2010	2010.0
652.75	2014	2013.9
653.04	2004	2004.0
653.32	2007	2007.0
653.60	2008	2008.0
653.89	2007	2007.0
654.17	2011	2011.0
654.46	2012	2012.0
654.74	2006	2006.0
655.02	2012	2012.0
655.31	2010	2010.0
655.59	2012	2012.0
655.87	2006	2006.0
656.16	2009	2009.0
656.44	2014	2013.9
656.72	2009	2009.0
657.01	2008	2008.0
657.29	2005	2005.0
657.57	2009	2009.0
657.85	2009	2009.0
658.14	2008	2008.0
658.42	2008	2008.0
658.70	2008	2008.0
658.98	2011	2011.0
659.27	2011	2011.0
659.55	2008	2008.0
659.83	2006	2006.0
660.11	2010	2010.0
660.40	2010	2010.0
660.68	2009	2009.0
660.96	2010	2010.0
661.24	2010	2010.0
661.52	2012	2012.0
661.81	2006	2006.0
662.09	2009	2009.0
662.37	2010	2010.0
662.65	2008	2008.0
662.93	2006	2006.0
663.21	2008	2008.0
663.49	2005	2005.0
663.78	2010	2010.0
664.06	2007	2007.0
664.34	2010	2010.0
664.62	2009	2009.0
664.90	2009	2009.0
665.18	2007	2007.0
665.46	2008	2008.0
665.74	2008	2008.0
666.02	2008	2008.0
666.30	2009	2009.0
666.58	2011	2011.0
666.86	2011	2011.0
667.14	2008	2008.0
667.43	2013	2012.9
667.71	2010	2010.0
667.99	2008	2008.0
668.27	2009	2009.0
668.55	2011	2011.0
668.83	2009	2009.0
669.11	2009	2009.0
669.39	2008	2008.0
669.67	2008	2008.0
669.94	2008	2008.0
670.22	2007	2007.0
670.50	2010	2010.0
670.78	2007	2007.0
671.06	2009	2009.0
671.34	2008	2008.0
671.62	2004	2004.0
671.90	2009	2009.0
672.18	2008	2008.0
672.46	2009	2009.0
672.74	2014	2013.9
673.02	2009	2009.0
673.30	2006	2006.0
673.57	2012	2012.0
673.85	2016	2015.9
674.13	2006	2006.0
674.41	2005	2005.0
674.69	2011	2011.0
674.97	2006	2006.0
675.25	2009	2009.0
675.52	2011	2011.0
675.80	2005	2005.0
676.08	2011	2011.0
676.36	2013	2012.9
676.64	2006	2006.0
676.91	2007	2007.0
677.19	2011	2011.0
677.47	2009	2009.0
677.75	2009	2009.0
678.02	2008	2008.0
678.30	2005	2005.0
678.58	2008	2008.0
678.86	2011	2011.0
679.13	2009	2009.0
679.41	2010	2010.0
679.69	2009	2009.0
679.97	2013	2012.9
680.24	2009	2009.0
680.52	2012	2012.0
680.80	2008	2008.0
681.07	2009	2009.0
681.35	2005	2005.0
681.63	2013	2012.9
681.90	2007	2007.0
682.18	2005	2005.0
682.46	2007	2007.0
682.73	2010	2010.0
683.01	2008	2008.0
683.29	2015	2014.9
683.56	2007	2007.0
683.84	2008	2008.0
684.11	2007	2007.0
684.39	2010	2010.0
684.67	2007	2007.0
684.94	2012	2012.0
685.22	2007	2007.0
685.49	2012	2012.0
685.77	2009	2009.0
686.04	2010	2010.0
686.32	2007	2007.0
686.60	2008	2008.0
686.87	2014	2013.9
687.15	2011	2011.0
687.42	2010	2010.0
687.70	2005	2005.0
687.97	2008	2008.0
688.25	2007	2007.0
688.52	2007	2007.0
688.80	2011	2011.0
689.07	2009	2009.0
689.35	2009	2009.0
689.62	2011	2011.0
689.89	2012	2012.0
690.17	2010	2010.0
690.44	2011	2011.0
690.72	2009	2009.0
690.99	2012	2012.0
691.27	2005	2005.0
691.54	2008	2008.0
691.82	2009	2009.0
692.09	2010	2010.0
692.36	2006	2006.0
692.64	2004	2004.0
692.91	2008	2008.0
693.18	2009	2009.0
693.46	2010	2010.0
693.73	2009	2009.0
694.01	2004	2004.0
694.28	2005	2005.0
694.55	2016	2015.9
694.83	2003	2003.0
695.10	2012	2012.0
695.37	2004	2004.0
695.64	2009	2009.0
695.92	2006	2006.0
696.19	2007	2007.0
696.46	2008	2008.0
696.74	2009	2009.0
697.01	2011	2011.0
697.28	2007	2007.0
697.55	2013	2012.9
697.83	2009	2009.0
698.10	2010	2010.0
698.37	2006	2006.0
698.64	2003	2003.0
698.92	2008	2008.0
699.19	2010	2010.0
699.46	2008	2008.0
699.73	2010	2010.0
700.01	2010	2010.0
700.28	2011	2011.0
700.55	2014	2013.9
700.82	2009	2009.0
701.09	2013	2012.9
701.36	2009	2009.0
701.64	2011	2011.0
701.91	2009	2009.0
702.18	2009	2009.0
